emp_no,first_name,last_name,birth_date,from_date,to_date,title
52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Engineer
53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Staff
53314,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Staff
53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Engineer
53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Staff
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Engineer
54800,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,Staff
55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Engineer
56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Engineer
58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Staff
58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Engineer
58454,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,Engineer
58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Engineer
59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Technique Leader
59640,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01,Staff
59869,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Staff
59966,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01,Technique Leader
60000,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Assistant Engineer
60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Engineer
60845,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01,Engineer
61147,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01,Staff
61541,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Engineer
61873,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Assistant Engineer
62033,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Engineer
62046,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Engineer
62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Engineer
63441,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01,Staff
63706,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Engineer
64532,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01,Engineer
64790,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Engineer
64828,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Staff
65171,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01,Technique Leader
66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
66530,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Staff
66643,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01,Engineer
66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Engineer
66757,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01,Staff
66807,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Engineer
67548,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Staff
67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Engineer
68648,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01,Technique Leader
69867,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01,Staff
69878,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01,Engineer
69936,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01,Assistant Engineer
71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Staff
71710,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01,Assistant Engineer
71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Engineer
72190,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Engineer
72232,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Engineer
72640,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01,Engineer
72918,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Staff
73516,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01,Engineer
73743,Anneke,Bernardeschi,1965-01-15,2000-10-15,9999-01-01,Engineer
74344,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01,Engineer
75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Engineer
75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Engineer
76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Engineer
76640,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01,Engineer
77030,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Technique Leader
77647,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01,Technique Leader
77815,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01,Assistant Engineer
78363,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01,Engineer
78469,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01,Staff
79043,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01,Technique Leader
79763,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01,Staff
80203,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01,Staff
80948,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01,Engineer
81545,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01,Technique Leader
81644,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01,Staff
82098,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01,Engineer
82511,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01,Engineer
82928,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01,Engineer
83289,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01,Engineer
83509,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01,Engineer
83714,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01,Engineer
83941,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Staff
84029,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01,Staff
84315,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01,Assistant Engineer
84508,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01,Engineer
84840,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01,Staff
84922,Parke,Unno,1965-01-22,1996-07-01,9999-01-01,Engineer
84942,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Technique Leader
85414,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01,Staff
85445,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Staff
85702,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
86546,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Engineer
86655,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
86672,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Staff
87129,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01,Staff
87714,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01,Assistant Engineer
88411,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Engineer
88422,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Technique Leader
88647,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Engineer
88965,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01,Engineer
89048,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Engineer
89090,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01,Staff
89161,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Staff
89346,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01,Engineer
89590,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Staff
89664,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01,Staff
89680,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Engineer
89806,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Engineer
89922,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Engineer
90077,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Engineer
90084,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Engineer
90211,Bader,Denis,1965-01-15,1997-10-06,9999-01-01,Engineer
90292,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Engineer
90518,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Staff
90614,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Assistant Engineer
90692,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Staff
91172,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Staff
91182,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Engineer
91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Engineer
91256,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01,Staff
91333,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01,Staff
91648,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Staff
92454,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Engineer
92577,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
92598,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
93278,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Engineer
93600,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Technique Leader
94331,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01,Technique Leader
94761,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Engineer
94944,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Engineer
95181,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01,Staff
95286,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Engineer
95406,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Engineer
95416,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01,Engineer
95509,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Engineer
96579,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01,Engineer
98639,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01,Staff
99057,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Staff
99590,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01,Staff
100865,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01,Engineer
100916,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Engineer
101647,Mori,Homond,1965-01-22,1994-05-10,9999-01-01,Staff
103316,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Engineer
103342,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Engineer
103756,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Engineer
104133,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01,Staff
104845,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01,Staff
104988,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Engineer
105342,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105356,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Engineer
105432,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Engineer
105731,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01,Engineer
106096,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01,Engineer
106710,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Staff
109252,Moty,Winter,1965-01-15,1991-04-28,9999-01-01,Technique Leader
109552,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Engineer
109620,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Staff
109703,Arco,Walston,1965-01-17,1999-08-16,9999-01-01,Engineer
200735,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Staff
201229,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
201739,Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
201801,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Engineer
201915,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Engineer
202291,Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01,Engineer
202403,Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Engineer
202552,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Engineer
202826,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Engineer
203495,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
203599,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Technique Leader
203946,Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01,Staff
204471,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Engineer
204764,Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01,Engineer
205018,Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01,Engineer
205085,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Technique Leader
205174,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
205627,Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01,Engineer
205660,Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01,Staff
206748,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Staff
206966,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Engineer
207021,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Engineer
207204,Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01,Engineer
207551,Baziley,Falck,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
208330,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Staff
209712,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Engineer
210292,Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01,Staff
210449,Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01,Engineer
210752,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Staff
210786,Werner,Ranze,1965-01-31,1998-06-05,9999-01-01,Staff
211858,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Engineer
211879,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Engineer
212361,Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01,Engineer
213016,Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01,Engineer
213140,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Staff
213384,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Engineer
214427,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Engineer
214539,Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01,Engineer
214866,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Engineer
214995,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
215419,Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01,Staff
215746,Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Staff
216342,Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01,Engineer
216502,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Engineer
216921,Lena,Lenart,1965-01-22,1990-12-25,9999-01-01,Staff
217272,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Staff
217286,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Technique Leader
217320,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
217363,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Staff
217551,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Engineer
218022,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Technique Leader
218831,Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01,Engineer
219035,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Technique Leader
219047,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Engineer
219052,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Staff
219417,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Staff
219497,Moie,Zastre,1965-01-22,1991-10-11,9999-01-01,Technique Leader
220131,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Engineer
220418,Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01,Staff
220625,Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01,Technique Leader
220699,Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Staff
221126,Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Engineer
221369,Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Engineer
221435,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Engineer
222354,Valdiodio,Schlumberger,1965-01-15,1993-08-07,9999-01-01,Assistant Engineer
222616,Badri,Schapire,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
222878,Annemarie,Zallocco,1965-01-10,1996-12-01,9999-01-01,Engineer
222952,Gopalakrishnan,Suermann,1965-01-28,1991-04-30,9999-01-01,Engineer
223593,Hidefumi,Moehrke,1965-01-20,1998-03-04,9999-01-01,Staff
223595,Chiranjit,Dredge,1965-02-01,1999-09-05,9999-01-01,Technique Leader
224135,Annemarie,Bressoud,1965-01-02,1998-06-23,9999-01-01,Engineer
224335,Perry,Chachaty,1965-01-29,1985-07-22,9999-01-01,Engineer
225601,Masasuke,Genin,1965-01-13,1994-06-25,9999-01-01,Engineer
225788,Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Engineer
225964,Mooi,Cooman,1965-01-19,1989-06-07,9999-01-01,Engineer
226216,Giordano,Gini,1965-01-28,1993-08-14,9999-01-01,Technique Leader
227354,Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Engineer
227476,Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Engineer
227681,Mikhail,Rousseau,1965-01-30,1998-11-30,9999-01-01,Staff
227899,Garnik,Luce,1965-01-23,1998-09-15,9999-01-01,Staff
228098,IEEE,Kroll,1965-01-18,1998-02-17,9999-01-01,Engineer
228248,Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Staff
229220,Fabrizio,Lichtman,1965-01-21,1987-02-09,9999-01-01,Engineer
229248,Harjit,Terekhov,1965-01-27,1995-10-19,9999-01-01,Staff
229391,Paloma,Henseler,1965-01-15,1991-06-11,9999-01-01,Engineer
229404,Gilbert,Kilgour,1965-01-11,1996-04-05,9999-01-01,Staff
229727,Ewing,Millington,1965-01-23,1999-09-28,9999-01-01,Engineer
229981,Jamaludin,Fordan,1965-01-19,1992-02-06,9999-01-01,Engineer
230002,Tadahiro,Backhouse,1965-01-07,1991-10-02,9999-01-01,Engineer
