emp_no,first_name,last_name,birth_date,from_date,to_date,title
10657,Juichirou,Kitsuregawa,1958-03-09,1992-03-26,9999-01-01,Senior Staff
10658,Junsik,Rijckaert,1956-11-21,1994-04-29,9999-01-01,Senior Staff
10661,Ottavia,Giarratana,1956-04-07,1988-01-12,9999-01-01,Senior Staff
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10669,Yurij,Iisaka,1956-05-30,1996-11-17,9999-01-01,Senior Staff
10670,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Senior Staff
10675,Ymte,Waschkowski,1960-03-26,1993-02-02,9999-01-01,Senior Staff
10679,Neven,Brender,1956-09-25,1990-05-13,9999-01-01,Senior Staff
10682,Bedir,Haumacher,1956-07-04,1990-11-09,9999-01-01,Senior Staff
10687,Leon,Kaiser,1961-07-25,1990-03-13,9999-01-01,Senior Staff
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10689,Satoru,Otillio,1958-09-13,1988-08-05,9999-01-01,Senior Staff
10692,Larisa,Bage,1960-08-11,1993-03-22,9999-01-01,Senior Staff
10701,Hyuncheol,Zolotykh,1961-09-30,1989-10-07,9999-01-01,Senior Staff
10704,Yolla,Kropatsch,1960-04-08,1995-02-17,9999-01-01,Senior Staff
10705,Hironobu,Wynblatt,1963-06-17,1990-07-18,9999-01-01,Senior Staff
10710,Sorina,Kermarrec,1962-12-25,1995-07-09,9999-01-01,Senior Staff
10717,Serap,Tasistro,1956-01-27,1991-09-13,9999-01-01,Senior Staff
10720,Odinaldo,Kruskal,1956-06-17,2001-08-05,9999-01-01,Senior Staff
10725,Garnet,Isard,1958-10-22,1990-09-08,9999-01-01,Senior Staff
10733,Sangeeta,Rodham,1962-04-06,1996-02-20,9999-01-01,Senior Staff
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,Senior Staff
10754,Chenyi,Feinberg,1956-09-08,1988-01-11,9999-01-01,Senior Staff
10760,Phillip,Dratva,1963-05-27,1997-08-22,9999-01-01,Senior Staff
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10771,Guiseppe,Kleiser,1960-05-10,1996-04-01,9999-01-01,Senior Staff
10779,Mori,Yavatkar,1961-07-09,1988-01-11,9999-01-01,Senior Staff
10781,Patricio,Leuchs,1958-09-19,1991-02-04,9999-01-01,Senior Staff
10783,Moty,Kenevan,1963-11-13,1994-05-15,9999-01-01,Senior Staff
10794,Teunis,Berztiss,1962-06-26,1994-05-24,9999-01-01,Senior Staff
10805,Kerhong,Bernick,1959-09-12,1987-05-26,9999-01-01,Senior Staff
10806,Giap,Matzel,1958-10-17,1994-04-08,9999-01-01,Senior Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10810,Lijie,Lunn,1957-10-23,1994-09-07,9999-01-01,Senior Staff
10815,Renny,Pramanik,1960-11-12,1994-04-19,9999-01-01,Senior Staff
10816,Morris,Caine,1958-02-24,1991-05-22,9999-01-01,Senior Staff
10817,Uri,Rullman,1958-10-02,2000-01-24,9999-01-01,Senior Staff
10820,Baocai,Pena,1956-11-12,1992-06-26,9999-01-01,Senior Staff
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10841,Pranav,Lieberherr,1961-10-14,1992-01-22,9999-01-01,Senior Staff
10851,Piyawadee,Copas,1959-11-15,1994-11-21,9999-01-01,Senior Staff
10855,Kwangho,Reinhart,1957-08-07,1997-03-02,9999-01-01,Senior Staff
10857,Fusako,Stenning,1957-06-11,1990-04-04,9999-01-01,Senior Staff
10862,Zhenbing,Kadhim,1956-01-19,1985-07-23,9999-01-01,Senior Staff
10864,Elliott,Spieker,1958-01-07,1986-09-25,9999-01-01,Senior Staff
10866,Fayez,Yeung,1959-12-13,1990-12-27,9999-01-01,Senior Staff
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10889,Cheong,Coors,1956-06-21,1987-08-11,9999-01-01,Senior Staff
10890,Ramzi,Furudate,1963-04-13,1990-03-10,9999-01-01,Senior Staff
10892,Kazunori,Vieth,1959-12-13,1990-04-11,9999-01-01,Senior Staff
10893,Danil,Kropatsch,1960-01-30,1989-08-23,9999-01-01,Senior Staff
10897,Arno,Kumaresan,1958-05-27,1986-04-09,9999-01-01,Senior Staff
10899,Valery,Rousseau,1962-05-11,1990-04-05,9999-01-01,Senior Staff
10903,Visit,Nyanchama,1958-06-04,1989-02-14,9999-01-01,Senior Staff
10907,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Senior Staff
10908,Rajmohan,Koblick,1961-11-27,1986-04-05,9999-01-01,Senior Staff
10910,Arco,Jervis,1958-11-11,1989-09-02,9999-01-01,Senior Staff
10923,Younwoo,Maquelin,1957-04-29,1990-04-09,9999-01-01,Senior Staff
10928,Udaiprakash,Schmezko,1961-11-01,1991-04-07,9999-01-01,Senior Staff
10929,Sumali,Arlazarov,1958-10-26,1991-04-15,9999-01-01,Senior Staff
10938,Shaowei,Iisaku,1958-05-11,1985-09-24,9999-01-01,Senior Staff
10941,Katsuyuki,Norsworthy,1960-08-26,1993-08-22,9999-01-01,Senior Staff
10951,Marco,Iisaku,1962-01-20,1989-07-06,9999-01-01,Senior Staff
10953,Jahangir,Laventhal,1956-06-23,1987-02-12,9999-01-01,Senior Staff
10955,Urs,Danley,1959-02-24,1986-09-27,9999-01-01,Senior Staff
10957,Duke,Schnabel,1961-06-06,1990-10-01,9999-01-01,Senior Staff
10960,Billur,Braunschweig,1959-10-24,1995-07-07,9999-01-01,Senior Staff
10962,Naraig,Kugler,1956-08-23,1986-12-16,9999-01-01,Senior Staff
10964,Takushi,Bolsens,1962-04-02,1991-05-05,9999-01-01,Senior Staff
10968,Lakshmi,Kolinko,1961-03-19,1985-08-11,9999-01-01,Senior Staff
10981,Sugwoo,Dulin,1956-07-22,1992-07-07,9999-01-01,Senior Staff
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
10995,Chenye,Hertweck,1963-02-26,1997-07-19,9999-01-01,Senior Staff
11010,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Senior Staff
11014,Baoqiu,Vecchi,1959-09-22,1994-08-23,9999-01-01,Senior Staff
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,Senior Staff
11023,Yifei,Driscoll,1964-01-08,1990-06-12,9999-01-01,Senior Staff
11029,Georgi,Itzfeldt,1962-07-12,1992-12-27,9999-01-01,Senior Staff
11034,Moti,Shrader,1961-10-23,1993-01-01,9999-01-01,Senior Staff
11036,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Senior Staff
11040,Cristinel,Denna,1961-11-07,1988-01-22,9999-01-01,Senior Staff
11046,Jixiang,Verhaegen,1961-01-17,1994-01-21,9999-01-01,Senior Staff
11049,Gift,Apsitis,1963-02-12,1995-05-12,9999-01-01,Senior Staff
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11068,Honglan,Harnett,1956-03-03,1989-06-29,9999-01-01,Senior Staff
11074,Spyrose,Peak,1963-08-17,1995-06-15,9999-01-01,Senior Staff
11086,Yishai,Dalphin,1958-10-24,1996-01-19,9999-01-01,Senior Staff
11094,Xiaoshan,Ratnaker,1958-08-28,1992-07-25,9999-01-01,Senior Staff
11099,Woody,Spataro,1958-07-12,1985-12-31,9999-01-01,Senior Staff
11108,Danae,Grabner,1962-04-15,1992-06-12,9999-01-01,Senior Staff
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11118,Sailaja,Gelosh,1959-12-19,1992-11-10,9999-01-01,Senior Staff
11120,Masato,Curless,1961-12-15,1996-06-19,9999-01-01,Senior Staff
11122,Aleksandar,Randi,1964-08-12,1995-10-15,9999-01-01,Senior Staff
11123,Herb,Cooley,1956-10-21,1988-03-28,9999-01-01,Senior Staff
11124,Gladys,Porenta,1963-07-12,1990-04-16,9999-01-01,Senior Staff
11135,Xinyu,Mellouli,1958-09-14,1991-10-22,9999-01-01,Senior Staff
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11150,Geraldo,Garigliano,1956-05-13,1989-05-01,9999-01-01,Senior Staff
11159,Becky,Schlenzig,1960-05-28,1992-05-12,9999-01-01,Senior Staff
11163,Djenana,Huttel,1957-11-17,1993-02-24,9999-01-01,Senior Staff
11164,Alain,Limongiello,1961-01-18,1989-12-25,9999-01-01,Senior Staff
11171,Yuguang,Passino,1961-12-01,1992-10-04,9999-01-01,Senior Staff
11172,Kristian,Sudkamp,1963-06-25,2000-06-20,9999-01-01,Senior Staff
11184,Masoud,Theuretzbacher,1958-04-01,1985-04-27,9999-01-01,Senior Staff
11190,Saeko,Mellouli,1960-09-26,1997-07-31,9999-01-01,Senior Staff
11191,Pradeep,Crooks,1963-10-20,1991-12-14,9999-01-01,Senior Staff
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,Senior Staff
11198,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Senior Staff
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,Senior Staff
11210,Kamakshi,Decaestecker,1957-09-27,1989-08-25,9999-01-01,Senior Staff
11212,Teruyuki,Peternell,1961-08-10,1985-10-16,9999-01-01,Senior Staff
11222,Yishai,Neimat,1956-09-01,1998-04-03,9999-01-01,Senior Staff
11226,Margareta,Akiyama,1961-05-18,1989-05-09,9999-01-01,Senior Staff
11227,Dayanand,Figueira,1956-01-31,1985-03-08,9999-01-01,Senior Staff
11231,Marit,Narwekar,1959-01-28,1988-04-07,9999-01-01,Senior Staff
11239,Gurbir,Kenevan,1957-02-27,1987-09-08,9999-01-01,Senior Staff
11244,Navin,Restivo,1959-08-20,1985-06-08,9999-01-01,Senior Staff
11247,Ranga,Rebaine,1958-01-12,1993-10-11,9999-01-01,Senior Staff
11259,Amalendu,Gronowski,1960-01-13,1986-12-26,9999-01-01,Senior Staff
11262,Bokyung,Melski,1962-12-24,1994-04-30,9999-01-01,Senior Staff
11270,Gina,Falster,1962-10-10,1989-09-04,9999-01-01,Senior Staff
11273,Make,Guting,1961-09-12,1987-10-07,9999-01-01,Senior Staff
11276,Yunming,Cappelletti,1957-03-10,1988-03-12,9999-01-01,Senior Staff
11277,Munehiro,Ritcey,1961-09-17,2000-09-15,9999-01-01,Senior Staff
11278,Sumali,Juneja,1956-12-15,1986-04-22,9999-01-01,Senior Staff
11279,Masanao,Ranft,1960-12-05,1991-02-05,9999-01-01,Senior Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11287,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11305,Augustine,Schwabacher,1960-12-22,1990-01-16,9999-01-01,Senior Staff
11306,Subhankar,Reeken,1956-11-01,1996-11-20,9999-01-01,Senior Staff
11307,Mohd,Dratva,1963-11-08,1995-04-30,9999-01-01,Senior Staff
11311,Hyuckchul,Bahk,1958-04-28,1994-12-15,9999-01-01,Senior Staff
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11314,Vasiliy,Jenevein,1958-12-28,1990-04-10,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11328,Xiong,Ferriere,1958-10-13,1986-08-08,9999-01-01,Senior Staff
11329,Limsoon,McConalogue,1956-03-01,1987-05-02,9999-01-01,Senior Staff
11331,Kasturi,Fraisse,1959-10-15,1987-03-03,9999-01-01,Senior Staff
11335,Bernd,Plump,1960-11-20,1994-07-25,9999-01-01,Senior Staff
11344,Paddy,Gulak,1956-01-31,1991-12-05,9999-01-01,Senior Staff
11346,Jungsoon,Fiebach,1962-04-25,1992-06-11,9999-01-01,Senior Staff
11348,Vishu,Kroll,1962-04-26,1991-10-02,9999-01-01,Senior Staff
11353,Utpal,Berztiss,1960-01-30,1987-11-09,9999-01-01,Senior Staff
11354,Tianruo,Stasinski,1957-11-01,1987-06-23,9999-01-01,Senior Staff
11357,Radoslaw,Azevdeo,1958-05-25,1996-10-28,9999-01-01,Senior Staff
11359,Subhrajyoti,Jayawardene,1958-07-04,1989-08-14,9999-01-01,Senior Staff
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Senior Staff
11375,Dmitri,Noriega,1960-08-13,1985-05-27,9999-01-01,Senior Staff
11377,Dayanand,Rosti,1960-01-26,1991-10-18,9999-01-01,Senior Staff
11384,Jaana,Veccia,1962-12-17,1994-06-03,9999-01-01,Senior Staff
11389,Ronnie,Provine,1959-12-29,1998-04-28,9999-01-01,Senior Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11395,Nectarios,Chleq,1959-03-04,1987-06-20,9999-01-01,Senior Staff
11402,Freyja,Brizzi,1957-02-09,1985-03-10,9999-01-01,Senior Staff
11407,Thanasis,Thebaut,1962-01-11,1991-05-06,9999-01-01,Senior Staff
11411,Shigehito,Giaccio,1962-04-06,1992-05-17,9999-01-01,Senior Staff
11412,Werner,Demeyer,1963-02-25,1996-02-02,9999-01-01,Senior Staff
11413,Yannik,Murillo,1961-06-09,1991-01-24,9999-01-01,Senior Staff
11416,Zijian,Oxman,1957-12-18,1987-09-21,9999-01-01,Senior Staff
11422,Thanasis,Ghalwash,1956-06-03,1990-12-04,9999-01-01,Senior Staff
11424,Lein,Sudkamp,1963-04-07,1991-02-14,9999-01-01,Senior Staff
11426,Shuky,Schwartzbauer,1958-09-01,1996-10-13,9999-01-01,Senior Staff
11427,Haldun,Iisaka,1963-08-15,1999-08-04,9999-01-01,Senior Staff
11429,Nagui,Kaminger,1957-02-22,1986-10-16,9999-01-01,Senior Staff
11434,Prodip,Brendel,1956-09-14,1992-10-18,9999-01-01,Senior Staff
11435,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Senior Staff
11437,Supot,Vidya,1956-07-18,1991-08-12,9999-01-01,Senior Staff
11443,Szabolcs,Nivat,1962-05-30,1989-08-15,9999-01-01,Senior Staff
11457,Marl,Vesna,1959-02-06,1991-02-10,9999-01-01,Senior Staff
11458,Stevo,Chenoweth,1958-08-09,1985-10-06,9999-01-01,Senior Staff
11467,Seshu,Bazelow,1958-11-21,1993-06-16,9999-01-01,Senior Staff
11472,Constantino,Ghandeharizadeh,1961-04-18,1990-04-30,9999-01-01,Senior Staff
11478,Nidapan,Ginneken,1962-03-18,1999-09-10,9999-01-01,Senior Staff
11480,Masoud,Itschner,1960-09-13,1995-11-28,9999-01-01,Senior Staff
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,Senior Staff
11483,Zine,Mateescu,1959-01-30,1997-02-18,9999-01-01,Senior Staff
11486,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Senior Staff
11489,Sandeepan,Yeung,1962-11-12,1991-03-24,9999-01-01,Senior Staff
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Senior Staff
11499,Peternela,Chartres,1957-07-02,1989-03-08,9999-01-01,Senior Staff
11520,Pranas,Jervis,1958-01-01,1991-11-20,9999-01-01,Senior Staff
11522,Yishay,Peris,1957-05-24,1999-08-04,9999-01-01,Senior Staff
11525,Tadahiro,Huttel,1958-04-14,1998-09-26,9999-01-01,Senior Staff
11530,Oscar,Jarecki,1956-11-14,1992-08-30,9999-01-01,Senior Staff
11541,Chinhyun,Coombs,1957-05-25,1992-06-15,9999-01-01,Senior Staff
11542,Maia,Kawashima,1960-05-11,1985-06-20,9999-01-01,Senior Staff
11544,Elzbieta,Thimonier,1964-09-05,1996-10-22,9999-01-01,Senior Staff
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11547,Kyoichi,Flexer,1960-03-30,1991-01-18,9999-01-01,Senior Staff
11553,Toshimitsu,Aloia,1960-01-14,1996-11-30,9999-01-01,Senior Staff
11556,Masasuke,Hashii,1960-10-20,1994-06-22,9999-01-01,Senior Staff
11560,Terresa,Birta,1957-01-22,1991-10-02,9999-01-01,Senior Staff
11561,Akeno,McAffer,1960-02-25,1989-12-26,9999-01-01,Senior Staff
11563,Teruyuki,Tetzlaff,1958-11-05,1988-12-10,9999-01-01,Senior Staff
11564,Sastry,Verspoor,1958-02-15,1998-04-22,9999-01-01,Senior Staff
11570,Mayumi,Uchoa,1960-08-12,1988-10-07,9999-01-01,Senior Staff
11576,Lakshmi,Demizu,1961-06-20,1992-11-12,9999-01-01,Senior Staff
11582,Willard,Baar,1961-08-21,1998-12-13,9999-01-01,Senior Staff
11591,Kiyomitsu,Lindqvist,1961-10-03,1987-10-18,9999-01-01,Senior Staff
11594,Pradeep,Butner,1962-01-30,1994-12-04,9999-01-01,Senior Staff
11601,Erez,Ritzmann,1958-11-17,1993-05-29,9999-01-01,Senior Staff
11611,Annemarie,Mateescu,1956-09-24,1995-02-27,9999-01-01,Senior Staff
11617,Masaki,Peroz,1958-12-04,1992-03-19,9999-01-01,Senior Staff
11619,Taiji,Ozeki,1958-08-14,1998-06-14,9999-01-01,Senior Staff
